,name,cate_1,cate_2,cate_3,dong,lon,lat,naver_keyword,naver_map_url
128670,로멘토케이크,기타 간이,빵/도넛,제과점업,상수동,37.55031103,126.9238457,상수동 로멘토케이크,https://m.place.naver.com/restaurant/1239082273
129883,1976샤브샤브,한식,국/탕/찌개류,한식 일반 음식점업,상수동,37.54807099,126.9222596,상수동 1976샤브샤브,https://m.place.naver.com/restaurant/37168372
130180,긴자료코,일식,일식 카레/돈가스/덮밥,일식 음식점업,상수동,37.54699835,126.923203,상수동 긴자료코,https://m.place.naver.com/restaurant/1429837581
132015,한돌개발홍대제2기숙사학생식당,구내식당·뷔페,구내식당,기관 구내식당업,상수동,37.55260046,126.9249219,상수동 한돌개발홍대제2기숙사학생식당,https://m.place.naver.com/restaurant/1275263742
133548,타로야,일식,일식 회/초밥,일식 음식점업,상수동,37.54883665,126.9232218,상수동 타로야,https://m.place.naver.com/restaurant/1298505160
144506,모데시,주점,무도 유흥 주점,무도 유흥 주점업,상수동,37.55020656,126.9232587,상수동 모데시,https://m.place.naver.com/restaurant/1008218783
144848,봉구가래떡볶이,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,상수동,37.5490855,126.9228448,상수동 봉구가래떡볶이,https://m.place.naver.com/restaurant/1734153618
145499,카이화,중식,중국집,중식 음식점업,상수동,37.54796476,126.9214803,상수동 카이화,https://m.place.naver.com/restaurant/1732949952
146215,브렛피자,기타 간이,피자,기타 외국식 음식점업,상수동,37.547343,126.9224625,상수동 브렛피자,https://m.place.naver.com/restaurant/1800338473
148075,고고갈비,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54793441,126.9221031,상수동 고고갈비,https://m.place.naver.com/restaurant/34897295
148155,카페인팩토리,비알코올 ,카페,커피 전문점,상수동,37.54509233,126.9256408,상수동 카페인팩토리,https://m.place.naver.com/restaurant/1214677307
150281,밀가루인쇄소,비알코올 ,카페,커피 전문점,상수동,37.54841802,126.9247443,상수동 밀가루인쇄소,https://m.place.naver.com/restaurant/212897207
150793,동피랑,일식,일식 회/초밥,일식 음식점업,상수동,37.54581032,126.9213755,상수동 동피랑,https://m.place.naver.com/restaurant/37349717
151546,써브웨이,기타 간이,토스트/샌드위치/샐러드,간이 음식 포장 판매 전문점,상수동,37.5483138,126.9231954,상수동 써브웨이,https://m.place.naver.com/restaurant/37392034
151749,피스오브헤븐,기타 간이,빵/도넛,제과점업,상수동,37.54796476,126.9214803,상수동 피스오브헤븐,https://m.place.naver.com/restaurant/1562047501
151998,플레이트946,서양식,경양식,서양식 음식점업,상수동,37.54858359,126.9251154,상수동 플레이트946,https://m.place.naver.com/restaurant/1566687178
152297,시러피하우스,비알코올 ,카페,커피 전문점,상수동,37.54858627,126.9254096,상수동 시러피하우스,https://m.place.naver.com/restaurant/1900564106
152910,미남당&배배꼬,기타 간이,빵/도넛,커피 전문점,상수동,37.54878853,126.9218984,상수동 미남당&배배꼬,https://m.place.naver.com/restaurant/1422358363
153614,유선생돈가스,주점,요리 주점,기타 주점업,상수동,37.54934109,126.9222187,상수동 유선생돈가스,https://m.place.naver.com/restaurant/1106729988
153756,과일에반하다프루타,비알코올 ,카페,기타 비알코올 음료점업,상수동,37.55260046,126.9249219,상수동 과일에반하다프루타,https://m.place.naver.com/restaurant/1387991098
154847,송린,일식,일식 회/초밥,일식 음식점업,상수동,37.54699381,126.9227051,상수동 송린,https://m.place.naver.com/restaurant/1259183599
156653,쿄식탁,일식,일식 회/초밥,일식 음식점업,상수동,37.54816557,126.9207757,상수동 쿄식탁,https://m.place.naver.com/restaurant/1953847467
158854,45년의정부부대찌개,한식,백반/한정식,한식 일반 음식점업,상수동,37.54800702,126.9211741,상수동 45년의정부부대찌개,https://m.place.naver.com/restaurant/38328708
159138,케이지365,한식,백반/한정식,한식 일반 음식점업,상수동,37.54589492,126.9217591,상수동 케이지365,https://m.place.naver.com/restaurant/38407622
160832,도리무란도,주점,요리 주점,기타 주점업,상수동,37.54517455,126.9257641,상수동 도리무란도,https://m.place.naver.com/restaurant/1619895672
161633,전다운전,한식,백반/한정식,한식 일반 음식점업,상수동,37.54860409,126.9224217,상수동 전다운전,https://m.place.naver.com/restaurant/1201223411
161844,원조부안집,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54799314,126.921627,상수동 원조부안집,https://m.place.naver.com/restaurant/1262766573
164056,어반쓰리에이엠,주점,일반 유흥 주점,일반 유흥 주점업,상수동,37.54865101,126.9216401,상수동 어반쓰리에이엠,https://m.place.naver.com/restaurant/1514294010
166454,치치상수점,주점,요리 주점,기타 주점업,상수동,37.54797253,126.9213444,상수동 치치상수점,https://m.place.naver.com/restaurant/31786591
168197,앤드에이,비알코올 ,카페,커피 전문점,상수동,37.54601219,126.9237491,상수동 앤드에이,https://m.place.naver.com/restaurant/1534247529
170121,낫띵뉴,비알코올 ,카페,커피 전문점,상수동,37.54807099,126.9222596,상수동 낫띵뉴,https://m.place.naver.com/restaurant/1632474623
172044,테이스테이,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54823681,126.9206842,상수동 테이스테이,https://m.place.naver.com/restaurant/1257409008
175220,맛이차이나,중식,중국집,중식 음식점업,상수동,37.54758949,126.9208406,상수동 맛이차이나,https://m.place.naver.com/restaurant/31777479
176951,더핏짜,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54934109,126.9222187,상수동 더핏짜,https://m.place.naver.com/restaurant/1015887536
177448,안,서양식,경양식,서양식 음식점업,상수동,37.54870154,126.9222392,상수동 안,https://m.place.naver.com/restaurant/1715864223
179720,향차이,중식,중국집,중식 음식점업,상수동,37.55260046,126.9249219,상수동 향차이,https://m.place.naver.com/restaurant/1289446008
180808,세모식당,한식,백반/한정식,한식 일반 음식점업,상수동,37.54613184,126.9220499,상수동 세모식당,https://m.place.naver.com/restaurant/1912389737
183038,스노브,기타 간이,빵/도넛,제과점업,상수동,37.54974338,126.922858,상수동 스노브,https://m.place.naver.com/restaurant/13155019
183220,유즈,주점,요리 주점,기타 주점업,상수동,37.54611992,126.9227177,상수동 유즈,https://m.place.naver.com/restaurant/1330564736
183409,블루포트홍익대학교점,비알코올 ,카페,커피 전문점,상수동,37.55260046,126.9249219,상수동 블루포트홍익대학교점,https://m.place.naver.com/restaurant/1896170461
186416,마라1983,중식,마라탕/훠궈,중식 음식점업,상수동,37.54816422,126.9206286,상수동 마라1983,https://m.place.naver.com/restaurant/1599378912
186471,인솔커피상수점,비알코올 ,카페,커피 전문점,상수동,37.54710946,126.9235296,상수동 인솔커피상수점,https://m.place.naver.com/restaurant/1198014242
186843,노이뜨레,서양식,경양식,서양식 음식점업,상수동,37.54921372,126.9220847,상수동 노이뜨레,https://m.place.naver.com/restaurant/1284739480
186959,죠스테이블,비알코올 ,카페,기타 비알코올 음료점업,상수동,37.5494328,126.923383,상수동 죠스테이블,https://m.place.naver.com/restaurant/1809419661
188284,루시드,서양식,경양식,서양식 음식점업,상수동,37.54736745,126.9221792,상수동 루시드,https://m.place.naver.com/restaurant/1354533620
189726,채온,비알코올 ,카페,커피 전문점,상수동,37.54865101,126.9216401,상수동 채온,https://m.place.naver.com/restaurant/1881468291
191347,빽돈,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54839028,126.9207159,상수동 빽돈,https://m.place.naver.com/restaurant/1556960033
194457,이응이응이응이응,주점,요리 주점,기타 주점업,상수동,37.54806584,126.9207093,상수동 이응이응이응이응,https://m.place.naver.com/restaurant/1601204746
195251,연우김밥,기타 간이,김밥/만두/분식,한식 일반 음식점업,상수동,37.54730996,126.9227911,상수동 연우김밥,https://m.place.naver.com/restaurant/35781433
195940,케이디에이치컴퍼니,일식,일식 회/초밥,일식 음식점업,상수동,37.54927314,126.9226723,상수동 케이디에이치컴퍼니,https://m.place.naver.com/restaurant/1835695877
198740,해피베어데이,비알코올 ,카페,커피 전문점,상수동,37.54833176,126.9212147,상수동 해피베어데이,https://m.place.naver.com/restaurant/1130004491
198839,서울돼지구이,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54594843,126.9226862,상수동 서울돼지구이,https://m.place.naver.com/restaurant/38404891
201574,카페틈이있는곳,비알코올 ,카페,커피 전문점,상수동,37.54817518,126.9218281,상수동 카페틈이있는곳,https://m.place.naver.com/restaurant/1925814579
202889,맛머무는집,한식,백반/한정식,한식 일반 음식점업,상수동,37.54759392,126.9223117,상수동 맛머무는집,https://m.place.naver.com/restaurant/36208889
203431,카페게이트홍대상수점,비알코올 ,카페,커피 전문점,상수동,37.5483618,126.9205579,상수동 카페게이트홍대상수점,https://m.place.naver.com/restaurant/37404937
204357,크로우,서양식,경양식,서양식 음식점업,상수동,37.54811883,126.9225645,상수동 크로우,https://m.place.naver.com/restaurant/1918450199
206183,스미비부타동,일식,일식 회/초밥,일식 음식점업,상수동,37.54934109,126.9222187,상수동 스미비부타동,https://m.place.naver.com/restaurant/1479575962
207053,이네크,비알코올 ,카페,커피 전문점,상수동,37.54900614,126.9240229,상수동 이네크,https://m.place.naver.com/restaurant/1948192508
209496,해공방,일식,일식 회/초밥,일식 음식점업,상수동,37.54585325,126.9231176,상수동 해공방,https://m.place.naver.com/restaurant/1332457219
212406,샌디빌리지,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",상수동,37.54717358,126.9226573,상수동 샌디빌리지,https://m.place.naver.com/restaurant/1005475707
213287,크림크림,비알코올 ,카페,커피 전문점,상수동,37.54793575,126.9222502,상수동 크림크림,https://m.place.naver.com/restaurant/1930501201
213613,펠리칸카페,비알코올 ,카페,커피 전문점,상수동,37.54749606,126.9224489,상수동 펠리칸카페,https://m.place.naver.com/restaurant/1773180579
215144,핑플,주점,요리 주점,기타 주점업,상수동,37.54598148,126.9223576,상수동 핑플,https://m.place.naver.com/restaurant/1105669083
215911,농담,서양식,경양식,서양식 음식점업,상수동,37.54815334,126.9214097,상수동 농담,https://m.place.naver.com/restaurant/1463569236
216025,포차의성지,주점,요리 주점,기타 주점업,상수동,37.54795162,126.9210278,상수동 포차의성지,https://m.place.naver.com/restaurant/1138394286
216083,카페삡,비알코올 ,카페,커피 전문점,상수동,37.54958774,126.9225886,상수동 카페삡,https://m.place.naver.com/restaurant/1840468850
216164,보글Bogl,주점,요리 주점,기타 주점업,상수동,37.54827023,126.9223699,상수동 보글Bogl,https://m.place.naver.com/restaurant/1783102547
217579,청염,한식,백반/한정식,한식 일반 음식점업,상수동,37.54822107,126.9209334,상수동 청염,https://m.place.naver.com/restaurant/1968446392
218869,홈,서양식,경양식,서양식 음식점업,상수동,37.54564005,126.9224643,상수동 홈,https://m.place.naver.com/restaurant/1144851187
234089,국제식당,한식,돼지고기 구이/찜,한식 육류 요리 전문점,상수동,37.54805649,126.9226446,상수동 국제식당,https://m.place.naver.com/restaurant/37405553
236491,CIURICIURI,서양식,경양식,서양식 음식점업,상수동,37.54841378,126.9213154,상수동 CIURICIURI,https://m.place.naver.com/restaurant/36868834
237580,까리뇨,서양식,경양식,서양식 음식점업,상수동,37.54593345,126.9210456,상수동 까리뇨,https://m.place.naver.com/restaurant/1572504541
237897,엠엔씨푸드시스템,한식,백반/한정식,한식 일반 음식점업,상수동,37.54855011,126.9234183,상수동 엠엔씨푸드시스템,https://m.place.naver.com/restaurant/1791373217
238360,슬런치,한식,백반/한정식,경영 컨설팅업,상수동,37.54585931,126.9208203,상수동 슬런치,https://m.place.naver.com/restaurant/20139601
239611,펠앤콜,비알코올 ,카페,커피 전문점,상수동,37.54815104,126.9221453,상수동 펠앤콜,https://m.place.naver.com/restaurant/20362335
239793,1976샤브샤브,한식,국/탕/찌개류,한식 일반 음식점업,상수동,37.54704642,126.9225459,상수동 1976샤브샤브,https://m.place.naver.com/restaurant/37168372
239841,슬런치,서양식,경양식,서양식 음식점업,상수동,37.54585931,126.9208203,상수동 슬런치,https://m.place.naver.com/restaurant/20139601
239848,웨일펍,주점,요리 주점,기타 주점업,상수동,37.54761268,126.9214061,상수동 웨일펍,https://m.place.naver.com/restaurant/35756687
239939,소리창고,한식,백반/한정식,한식 일반 음식점업,상수동,37.54753774,126.9240553,상수동 소리창고,https://m.place.naver.com/restaurant/418420835
239999,한솥도시락,한식,백반/한정식,한식 일반 음식점업,상수동,37.54758625,126.922459,상수동 한솥도시락,https://m.place.naver.com/restaurant/31068016
240022,구스토타코,서양식,기타 서양식 음식점,서양식 음식점업,상수동,37.54813881,126.9227792,상수동 구스토타코,https://m.place.naver.com/restaurant/33237660
